horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,prediction_haircut,prediction_lower_bound,entry_margin,entry_rule_selected,entry_threshold,expected_net_edge,candidate_decision,predicted_excess_return,decision,publish_gate
10,2026-08-13,MBB,0.0051540476,0.0051540476,7.0,0.5,0.02913010890692513,-0.023976061,,False,,-0.02897606,WAIT,0.0051540476,WAIT,NO_EDGE
10,2026-08-13,FPT,0.0027542033,0.0027542033,8.0,0.4166666666666667,0.02913010890692513,-0.026375905,,False,,-0.031375904,WAIT,0.0027542033,WAIT,NO_EDGE
10,2026-08-13,VNM,0.0020108144,0.0020108144,9.0,0.3333333333333333,0.02913010890692513,-0.027119294,,False,,-0.032119293,WAIT,0.0020108144,WAIT,NO_EDGE
10,2026-08-13,VHM,0.0014144554,0.0014144554,10.0,0.25,0.02913010890692513,-0.027715653,,False,,-0.032715652,WAIT,0.0014144554,WAIT,NO_EDGE
10,2026-08-13,HPG,-0.0003695809,-0.0003695809,11.0,0.16666666666666666,0.02913010890692513,-0.02949969,,False,,-0.03449969,WAIT,-0.0003695809,WAIT,NO_EDGE
10,2026-08-13,VIC,-0.0016617933,-0.0016617933,12.0,0.08333333333333333,0.02913010890692513,-0.030791901,,False,,-0.0357919,WAIT,-0.0016617933,WAIT,NO_EDGE
20,2026-08-13,HCM,0.021804186,0.021804186,1.0,1.0,0.04437391770588595,-0.022569733,,False,,-0.027569734,WAIT,0.021804186,WAIT,NO_EDGE
20,2026-08-13,GAS,0.016534397,0.016534397,2.0,0.9166666666666666,0.04437391770588595,-0.027839521,,False,,-0.03283952,WAIT,0.016534397,WAIT,NO_EDGE
20,2026-08-13,TCB,0.012743124,0.012743124,3.0,0.8333333333333334,0.04437391770588595,-0.031630795,,False,,-0.036630794,WAIT,0.012743124,WAIT,NO_EDGE
20,2026-08-13,MWG,0.010091476,0.010091476,4.0,0.75,0.04437391770588595,-0.034282442,,False,,-0.03928244,WAIT,0.010091476,WAIT,NO_EDGE
20,2026-08-13,SSI,0.008733037,0.008733037,5.0,0.6666666666666666,0.04437391770588595,-0.03564088,,False,,-0.04064088,WAIT,0.008733037,WAIT,NO_EDGE
20,2026-08-13,VCB,0.007871075,0.007871075,6.0,0.5833333333333334,0.04437391770588595,-0.036502846,,False,,-0.041502845,WAIT,0.007871075,WAIT,NO_EDGE
20,2026-08-13,VNM,0.007482505,0.007482505,7.0,0.5,0.04437391770588595,-0.036891412,,False,,-0.04189141,WAIT,0.007482505,WAIT,NO_EDGE
20,2026-08-13,VHM,0.006662527,0.006662527,8.0,0.4166666666666667,0.04437391770588595,-0.03771139,,False,,-0.04271139,WAIT,0.006662527,WAIT,NO_EDGE
20,2026-08-13,FPT,0.0054255533,0.0054255533,9.0,0.3333333333333333,0.04437391770588595,-0.038948365,,False,,-0.043948364,WAIT,0.0054255533,WAIT,NO_EDGE
20,2026-08-13,MBB,0.0052342857,0.0052342857,10.0,0.25,0.04437391770588595,-0.039139632,,False,,-0.04413963,WAIT,0.0052342857,WAIT,NO_EDGE
20,2026-08-13,HPG,0.0008725329,0.0008725329,11.0,0.16666666666666666,0.04437391770588595,-0.043501385,,False,,-0.048501384,WAIT,0.0008725329,WAIT,NO_EDGE
20,2026-08-13,VIC,0.0005242608,0.0005242608,12.0,0.08333333333333333,0.04437391770588595,-0.04384966,,False,,-0.048849657,WAIT,0.0005242608,WAIT,NO_EDGE
