horizon,sample,date,symbols,positions,completed_round_trips,gross_return,cost,net_return,market_return,net_excess_return,invested_fraction,cash_fraction,round_trip_turnover,winning_trades,entry_margin_min,entry_margin_max,market_regime
20,development,2024-03-07,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
20,development,2024-04-04,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-05-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-06-05,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-07-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-07-31,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-08-28,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-09-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-10-25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-11-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-12-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2025-01-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2025-02-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
20,development,2025-03-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2025-04-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
20,development,2025-05-23,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
